The cuda/toolkit  module version 11.2  is loaded. 
From GPU [block id: 4, thread id: 0] Hello, world!
From GPU [block id: 4, thread id: 1] Hello, world!
From GPU [block id: 4, thread id: 2] Hello, world!
From GPU [block id: 4, thread id: 3] Hello, world!
From GPU [block id: 4, thread id: 4] Hello, world!
From GPU [block id: 4, thread id: 5] Hello, world!
From GPU [block id: 4, thread id: 6] Hello, world!
From GPU [block id: 4, thread id: 7] Hello, world!
From GPU [block id: 4, thread id: 8] Hello, world!
From GPU [block id: 4, thread id: 9] Hello, world!
From GPU [block id: 2, thread id: 0] Hello, world!
From GPU [block id: 2, thread id: 1] Hello, world!
From GPU [block id: 2, thread id: 2] Hello, world!
From GPU [block id: 2, thread id: 3] Hello, world!
From GPU [block id: 2, thread id: 4] Hello, world!
From GPU [block id: 2, thread id: 5] Hello, world!
From GPU [block id: 2, thread id: 6] Hello, world!
From GPU [block id: 2, thread id: 7] Hello, world!
From GPU [block id: 2, thread id: 8] Hello, world!
From GPU [block id: 2, thread id: 9] Hello, world!
From GPU [block id: 1, thread id: 0] Hello, world!
From GPU [block id: 1, thread id: 1] Hello, world!
From GPU [block id: 1, thread id: 2] Hello, world!
From GPU [block id: 1, thread id: 3] Hello, world!
From GPU [block id: 1, thread id: 4] Hello, world!
From GPU [block id: 1, thread id: 5] Hello, world!
From GPU [block id: 1, thread id: 6] Hello, world!
From GPU [block id: 1, thread id: 7] Hello, world!
From GPU [block id: 1, thread id: 8] Hello, world!
From GPU [block id: 1, thread id: 9] Hello, world!
From GPU [block id: 3, thread id: 0] Hello, world!
From GPU [block id: 3, thread id: 1] Hello, world!
From GPU [block id: 3, thread id: 2] Hello, world!
From GPU [block id: 3, thread id: 3] Hello, world!
From GPU [block id: 3, thread id: 4] Hello, world!
From GPU [block id: 3, thread id: 5] Hello, world!
From GPU [block id: 3, thread id: 6] Hello, world!
From GPU [block id: 3, thread id: 7] Hello, world!
From GPU [block id: 3, thread id: 8] Hello, world!
From GPU [block id: 3, thread id: 9] Hello, world!
From GPU [block id: 0, thread id: 0] Hello, world!
From GPU [block id: 0, thread id: 1] Hello, world!
From GPU [block id: 0, thread id: 2] Hello, world!
From GPU [block id: 0, thread id: 3] Hello, world!
From GPU [block id: 0, thread id: 4] Hello, world!
From GPU [block id: 0, thread id: 5] Hello, world!
From GPU [block id: 0, thread id: 6] Hello, world!
From GPU [block id: 0, thread id: 7] Hello, world!
From GPU [block id: 0, thread id: 8] Hello, world!
From GPU [block id: 0, thread id: 9] Hello, world!
From CPU Hello, world!
